gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,fyr,at,ni,optgr,revt,cik,costat,mkvalt,gind,gsector,sic
001161,20101231,2010,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,12,4964.0000,471.0000,5.0000,6494.0000,0000002488,A,5586.9400,453010,45,3674
001161,20111231,2011,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,12,4954.0000,491.0000,8.0000,6568.0000,0000002488,A,3769.2000,453010,45,3674
001161,20121231,2012,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,12,4000.0000,-1183.0000,17.0000,5422.0000,0000002488,A,1711.2000,453010,45,3674
001161,20131231,2013,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,12,4337.0000,-83.0000,6.0000,5299.0000,0000002488,A,2805.7500,453010,45,3674
001161,20141231,2014,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,12,3767.0000,-403.0000,8.0000,5506.0000,0000002488,A,2071.9200,453010,45,3674
001161,20151231,2015,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,12,3109.0000,-660.0000,8.0000,3991.0000,0000002488,A,2273.0400,453010,45,3674
001161,20161231,2016,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,12,3321.0000,-497.0000,2.0000,4272.0000,0000002488,A,10602.9000,453010,45,3674
001161,20171231,2017,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,12,3540.0000,43.0000,1.0000,5329.0000,0000002488,A,9940.7600,453010,45,3674
001161,20181231,2018,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,12,4556.0000,337.0000,1.0000,6475.0000,0000002488,A,18552.3000,453010,45,3674
001161,20191231,2019,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,12,6028.0000,341.0000,1.0000,6731.0000,0000002488,A,53656.2000,453010,45,3674
001161,20201231,2020,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,12,8962.0000,2490.0000,0.0000,9763.0000,0000002488,A,111060.8100,453010,45,3674
001327,20100930,2010,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,9,1564.0520,137.2940,3.2340,1071.8490,0000004127,A,3726.0362,453010,45,3674
001327,20110930,2011,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,9,1890.3890,226.5850,3.4140,1418.9220,0000004127,A,3347.4926,453010,45,3674
001327,20120930,2012,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,9,2136.6460,202.0780,3.7310,1568.5810,0000004127,A,4530.4938,453010,45,3674
001327,20130930,2013,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,9,2333.1000,278.1000,1.7000,1792.0000,0000004127,A,4667.4360,453010,45,3674
001327,20140930,2014,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,9,2973.8000,457.7000,1.8000,2291.5000,0000004127,A,10983.0600,453010,45,3674
001327,20150930,2015,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,9,3719.4000,798.3000,1.1000,3258.4000,0000004127,A,16025.1630,453010,45,3674
001327,20160930,2016,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,9,3855.4000,995.2000,0.8000,3289.0000,0000004127,A,14078.2860,453010,45,3674
001327,20170930,2017,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,9,4573.6000,1010.2000,0.2000,3651.4000,0000004127,A,18657.8900,453010,45,3674
001327,20180930,2018,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,9,4828.9000,918.4000,0.1000,3868.0000,0000004127,A,16091.9540,453010,45,3674
001327,20190930,2019,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,9,4839.6000,853.6000,0.0000,3376.8000,0000004127,A,13480.4250,453010,45,3674
001327,20200930,2020,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,9,5106.7000,814.8000,0.0000,3355.7000,0000004127,A,24094.8000,453010,45,3674
001440,20101231,2010,INDL,C,D,STD,AEP,025537101,AMERICAN ELECTRIC POWER CO,USD,12,50455.0000,1214.0000,0.0000,14427.0000,0000004904,A,17299.4359,551010,55,4911
001440,20111231,2011,INDL,C,D,STD,AEP,025537101,AMERICAN ELECTRIC POWER CO,USD,12,52223.0000,1946.0000,0.0000,15116.0000,0000004904,A,19970.2041,551010,55,4911
001440,20121231,2012,INDL,C,D,STD,AEP,025537101,AMERICAN ELECTRIC POWER CO,USD,12,54367.0000,1259.0000,0.0000,14945.0000,0000004904,A,20728.3102,551010,55,4911
001440,20131231,2013,INDL,C,D,STD,AEP,025537101,AMERICAN ELECTRIC POWER CO,USD,12,56414.0000,1480.0000,0.0000,15357.0000,0000004904,A,22798.6970,551010,55,4911
001440,20141231,2014,INDL,C,D,STD,AEP,025537101,AMERICAN ELECTRIC POWER CO,USD,12,59633.0000,1634.0000,0.0000,17020.0000,0000004904,A,29716.4894,551010,55,4911
001440,20151231,2015,INDL,C,D,STD,AEP,025537101,AMERICAN ELECTRIC POWER CO,USD,12,61683.1000,2047.1000,0.0000,16453.2000,0000004904,A,28613.6583,551010,55,4911
001440,20161231,2016,INDL,C,D,STD,AEP,025537101,AMERICAN ELECTRIC POWER CO,USD,12,63467.7000,610.9000,0.0000,16380.1000,0000004904,A,30958.1875,551010,55,4911
001440,20171231,2017,INDL,C,D,STD,AEP,025537101,AMERICAN ELECTRIC POWER CO,USD,12,64729.1000,1912.6000,0.0000,15424.9000,0000004904,A,36196.8814,551010,55,4911
001440,20181231,2018,INDL,C,D,STD,AEP,025537101,AMERICAN ELECTRIC POWER CO,USD,12,68802.8000,1923.8000,0.0000,16195.7000,0000004904,A,36865.2060,551010,55,4911
001440,20191231,2019,INDL,C,D,STD,AEP,025537101,AMERICAN ELECTRIC POWER CO,USD,12,75892.3000,1921.1000,0.0000,15561.4000,0000004904,A,46703.9122,551010,55,4911
001440,20201231,2020,INDL,C,D,STD,AEP,025537101,AMERICAN ELECTRIC POWER CO,USD,12,80757.2000,2200.1000,0.0000,14918.5000,0000004904,A,41352.2151,551010,55,4911
001602,20101231,2010,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,43486.0000,4627.0000,6.7000,15053.0000,0000318154,A,51166.8000,352010,35,2836
001602,20111231,2011,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,48871.0000,3683.0000,2.3000,15582.0000,0000318154,A,51085.4760,352010,35,2836
001602,20121231,2012,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,54298.0000,4345.0000,0.1000,17265.0000,0000318154,A,65193.0600,352010,35,2836
001602,20131231,2013,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,66125.0000,5081.0000,0.1000,18676.0000,0000318154,A,86084.7680,352010,35,2836
001602,20141231,2014,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,69009.0000,5158.0000,0.0000,20063.0000,0000318154,A,121124.1160,352010,35,2836
001602,20151231,2015,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,71576.0000,6939.0000,0.0000,21662.0000,0000318154,A,122396.8200,352010,35,2836
001602,20161231,2016,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,77626.0000,7722.0000,1.4000,22991.0000,0000318154,A,107932.2220,352010,35,2836
001602,20171231,2017,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,79954.0000,1979.0000,1.5000,22849.0000,0000318154,A,125590.5800,352010,35,2836
001602,20181231,2018,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,66416.0000,8394.0000,1.2000,23747.0000,0000318154,A,122564.2320,352010,35,2836
001602,20191231,2019,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,59707.0000,7842.0000,1.4000,23362.0000,0000318154,A,142568.7980,352010,35,2836
001602,20201231,2020,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,62948.0000,7264.0000,1.0000,25424.0000,0000318154,A,132962.7360,352010,35,2836
001632,20101031,2010,INDL,C,D,STD,ADI,032654105,ANALOG DEVICES,USD,10,4328.8310,712.0840,1.8660,2761.5030,0000006281,A,10055.6465,453010,45,3674
